FK__SoldBoadS__SubPo__108157BA;SoldBoadSubPositions;SubPositionId;SubPositions;SubPositionID
FK_SoldRolls_SubPositions;SoldRolls;SubPositionID;SubPositions;SubPositionID
FK_SoldBundles_SubPositions;SoldBundles;SubPositionID;SubPositions;SubPositionID
FK__SoldOther__SubPo__28CDE297;SoldOtherGoodsSubPositions;SubPositionId;SubPositions;SubPositionID
FK__HistoryBo__Categ__05B9B084;HistoryBoadDirectoryDetails;CategoryId;Categories;CategoryID
FK_PalletsCategories;Pallets;CategoryID;Categories;CategoryID
FK_SoldPalletsCategories;SoldPallets;CategoryID;Categories;CategoryID
FK_RelationQualitySettingsCategories;RelationQualitySettings;CategoryID;Categories;CategoryID
FK__ImportVen__Categ__28ADE706;ImportVeneerPallets;CategoryId;Categories;CategoryID
FK__SortedVen__Categ__304F08CE;SortedVeneerPallets;CategoryId;Categories;CategoryID
FK__RollDirec__Categ__396E5EB4;RollDirectories;CategoryId;Categories;CategoryID
FK__GoodsDire__Categ__3C15C135;GoodsDirectories;CategoryId;Categories;CategoryID
FK__VeneerDir__Categ__46FD63FC;VeneerDirectories;CategoryId;Categories;CategoryID
FK__HistoryGo__Categ__496FBC53;HistoryGoodsDirectoryDetails;CategoryId;Categories;CategoryID
FK__HistoryRo__Categ__49A4C67D;HistoryRollDirectoryDetails;CategoryId;Categories;CategoryID
FK__Rolls__CategoryI__4A78EF25;Rolls;CategoryId;Categories;CategoryID
FK__SoldRolls__Categ__4E498009;SoldRolls;CategoryId;Categories;CategoryID
FK__Boads__CategoryI__521A10ED;Boads;CategoryId;Categories;CategoryID
FK__SoldBoads__Categ__55EAA1D1;SoldBoads;CategoryId;Categories;CategoryID
FK__HistoryVe__Categ__5733CBC5;HistoryVeneerDirectoryDetails;CategoryId;Categories;CategoryID
FK__BoadDirec__Categ__748F2482;BoadDirectories;CategoryId;Categories;CategoryID
FK_SoldBoadSubPositions_SoldBoads;SoldBoadSubPositions;SoldBoadId;SoldBoads;BoadId
FK__Bundles__SubVene__0B528E49;Bundles;SubVeneerPalletId;SubVeneerPallets;SubVeneerPalletId
FK__SoldBundl__SubVe__0C46B282;SoldBundles;SubVeneerPalletId;SubVeneerPallets;SubVeneerPalletId
FK__PositionD__Disco__0EC3F7D1;PositionDiscounts;DiscountCommentId;DiscountComments;DiscountCommentId
FK__SoldBundl__Palle__1C7D1A4B;SoldBundles;PalletID;Pallets;PalletID
FK_Bundles_Pallets;Bundles;PalletID;Pallets;PalletID
FK__BundlePar__Paren__75634D2A;BundleParentPallets;ParentPalletId;Pallets;PalletID
FK__SubPositi__Posit__0FB81C0A;SubPositions;PositionDiscountId;PositionDiscounts;PositionDiscountId
FK__SalaryMan__Salar__20238DFD;SalaryManagerConditions;SalaryOfManagerOfOrdersPlanPeriodId;SalaryOfManagerOfOrdersPlanPeriods;SalaryOfManagerOfOrdersPlanPeriodId
FK_SubPositions_Positions;SubPositions;PositionID;Positions;PositionID
FK_Boads_Suppliers;Boads;SupplierID;Suppliers;SupplierID
FK_Rolls_Suppliers;Rolls;SupplierID;Suppliers;SupplierID
FK_SoldBoads_Suppliers;SoldBoads;SupplierID;Suppliers;SupplierID
FK_Pallets_Suppliers;Pallets;SupplierID;Suppliers;SupplierID
FK_SoldRolls_Suppliers;SoldRolls;SupplierID;Suppliers;SupplierID
FK__ImportVen__Suppl__2A962F78;ImportVeneerPallets;SupplierId;Suppliers;SupplierID
FK_Barcodes_Suppliers;Barcodes;SupplierID;Suppliers;SupplierID
FK__ImportVen__Suppl__3513BDEB;ImportVeneerPalletBundles;SupplierId;Suppliers;SupplierID
FK_BarcodesRoll_Suppliers;BarcodesRoll;SupplierID;Suppliers;SupplierID
FK__SoldOther__Suppl__55D59338;SoldOtherGoods;SupplierID;Suppliers;SupplierID
FK__OtherGood__Suppl__5F5EFD72;OtherGoods;SupplierID;Suppliers;SupplierID
FK__HistoryOt__Suppl__6CB8F890;HistoryOtherGoodsDetails;SupplierID;Suppliers;SupplierID
FK_SoldPallets_Suppliers;SoldPallets;SupplierID;Suppliers;SupplierID
FK_SoldBundles_SoldPallets;SoldBundles;SoldPalletID;SoldPallets;SoldPalletID
FK__ImportVen__Impor__3607E224;ImportVeneerPalletBundles;ImportVeneerPalletId;ImportVeneerPallets;ImportVeneerPalletId
FK_Boads_Stocks;Boads;StockID;Stocks;StockID
FK_Rolls_Stocks;Rolls;StockID;Stocks;StockID
FK_SoldBoads_Stocks;SoldBoads;StockID;Stocks;StockID
FK_Pallets_Stocks;Pallets;StockID;Stocks;StockID
FK_SoldRolls_Stocks;SoldRolls;StockID;Stocks;StockID
FK__ImportVen__Stock__29A20B3F;ImportVeneerPallets;StockId;Stocks;StockID
FK__SortedVen__Stock__31432D07;SortedVeneerPallets;StockId;Stocks;StockID
FK__SoldOther__Stock__54E16EFF;SoldOtherGoods;StockID;Stocks;StockID
FK__OtherGood__Stock__5E6AD939;OtherGoods;StockID;Stocks;StockID
FK__HistoryOt__Stock__6BC4D457;HistoryOtherGoodsDetails;StockID;Stocks;StockID
FK__TaskValue__TaskD__2F45D5FC;TaskValues;TaskDefinitionId;TaskDefinitions;TaskDefinitionId
FK__SubVeneer__CostO__0A5E6A10;SubVeneerPallets;CostOfArticleId;CostOfArticles;CostOfArticleId
