SubPositions;PK_SubPosition;SubPositionID
DataValues;PK__DataValu__E908F4FAD87D7180;DataValueId
HistoryBoadDirectoryDetails;PK__HistoryB__990F74C941285619;HistoryBoadDirectoryDetailId
Breeds;PK_Breed;BreedID
Categories;PK__Categori__19093A2B8E76346E;CategoryID
SalaryManagerConditions;PK_SalaryManagerConditions;SalaryManagerConditionId
SalaryOfManagerOfOrdersPlans;PK_SalaryOfManagerOfOrdersPlans;SalaryOfManagerOfOrdersPlanId
SoldBoads;PK__SoldBoad__AB31257BD3926B51;BoadId
SubVeneerPallets;PK__SubVenee__25A6A2B49CBD96C5;SubVeneerPalletId
DiscountComments;PK__Discount__C18CF3F55D1328B5;DiscountCommentId
AdditionalInformations;PK_AdditionalInformation;AdditionalInformationsID
Pallets;PK_Pallet;PalletID
PositionDiscounts;PK__Position__6ED60FFEBB18A5F2;PositionDiscountId
SoldBoadSubPositions;PK__SoldBoad__334427ABF1BE00D7;SoldBoadSubPositonId
Permits;PK_Permits;PermitID
OrderMultiplePaymantTypes;PK__OrderMul__EB05AB3C64B1810F;OrderMultiplePaymantTypeId
VeneerDirectoryCuttingTypes;PK__VeneerDi__B5B7E5D0EAB1CA8E;VeneerDirectoryCuttingTypeId
SalaryOfManagerOfOrdersPlanPeriods;PK__SalaryOf__264BCB2FAC217C16;SalaryOfManagerOfOrdersPlanPeriodId
Positions;PK_Positions;PositionID
Suppliers;PK_Supplier;SupplierID
EmailDetails;PK__EmailDet__C2795CCA228AB6A5;EmailDetailId
SoldRolls;PK_SoldRoll;RollID
SoldPallets;PK_SoldPallets;SoldPalletID
SoldBundles;PK_SoldBundles;BundleID
ImportVeneerPallets;PK__ImportVe__509E0AC926205642;ImportVeneerPalletId
Stocks;PK_Stock;StockID
SoldOtherGoodsSubPositions;PK_SOLDGOODSSUBPOSITIONS;SoldGoodsSubpositionId
RelationBoads;PK__Relation__2AF1BD4837180BE5;RelationBoadId
TaskDefinitions;PK__TaskDefi__4BBBB566226F4563;TaskDefinitionId
CostOfArticles;PK__CostOfAr__4B199901DB10F5FE;CostOfArticleId
